name,description_doc,datasheet_doc,keywords_doc,reference,value,footprint
TLV62568DDC,"High Efficiency Synchronous Buck Converter, Adjustable Output 0.6V-5.5V, 1A, SOT-23-6",http://www.ti.com/lit/ds/symlink/tlv62568.pdf,Step-Down Buck DC-DC Regulator Adjustable,U,TLV62568DDC,Package_TO_SOT_SMD:SOT-23-6
TLV62568DRL,"High Efficiency Synchronous Buck Converter, Adjustable Output 0.6V-5.5V, 1A, SOT-563-6",http://www.ti.com/lit/ds/symlink/tlv62568.pdf,Step-Down Buck DC-DC Regulator Adjustable,U,TLV62568DRL,Package_TO_SOT_SMD:SOT-563
TMR_1-0511,"200mA Regulated 1W DC/DC converter with 1.5kV isolation, 4.5V-9V input, 5V fixed Output Voltage, SIP-6",http://assets.tracopower.com/TMR1/documents/tmr1-datasheet.pdf,Murata isolated isolation dc-dc converter transformer,U,TMR_1-0511,Converter_DCDC:Converter_DCDC_TRACO_TMR-1-xxxx_Single_THT
TMR_1-0511SM,"200mA Regulated 1W DC/DC converter with 1.5kV isolation, 4.5V-9V input, 5V fixed Output Voltage, SMD",http://assets.tracopower.com/TMR1SM/documents/tmr1sm-datasheet.pdf,Murata isolated isolation dc-dc converter transformer,U,TMR_1-0511SM,Converter_DCDC:Converter_DCDC_TRACO_TMR-1SM_SMD
TMR_1-0522,"+/-42mA Regulated 1W DC/DC converter with 1.5kV isolation, 4.5V-9V input, +/-12V fixed Output Voltage, SIP-6",http://assets.tracopower.com/TMR1/documents/tmr1-datasheet.pdf,Murata isolated isolation dc-dc converter transformer,U,TMR_1-0522,Converter_DCDC:Converter_DCDC_TRACO_TMR-1-xxxx_Dual_THT
TMR_1-0522SM,"+/-42mA Regulated 1W DC/DC converter with 1.5kV isolation, 4.5V-9V input, +/-12V fixed Output Voltage, SMD",http://assets.tracopower.com/TMR1SM/documents/tmr1sm-datasheet.pdf,Murata isolated isolation dc-dc converter transformer,U,TMR_1-0522SM,Converter_DCDC:Converter_DCDC_TRACO_TMR-1SM_SMD
TNY263G,"TinySwitch-II Family, 4.7W Output Power, SMD-8B",http://www.powerint.com/sites/default/files/product-docs/tny263_268.pdf,"Enhanced, Energy Efficient, Low Power Off-line Switcher",U,TNY263G,Package_DIP:PowerIntegrations_SMD-8B
TNY263P,"TinySwitch-II Family, 4.7W Output Power, DIP-8B",http://www.powerint.com/sites/default/files/product-docs/tny263_268.pdf,"Enhanced, Energy Efficient, Low Power Off-line Switcher",U,TNY263P,Package_DIP:PowerIntegrations_PDIP-8B
TNY274G,"TinySwitch-III Family, 8.5W Output Power, SMD-8C",http://www.powerint.com/sites/default/files/product-docs/tny274-280.pdf,"Energy-Efficient, Off-Line Switcher With Enhanced Flexibility and Extended Power Range",U,TNY274G,Package_DIP:PowerIntegrations_SMD-8C
TNY274P,"TinySwitch-III Family, 8.5W Output Power, DIP-8C",http://www.powerint.com/sites/default/files/product-docs/tny274-280.pdf,"Energy-Efficient, Off-Line Switcher With Enhanced Flexibility and Extended Power Range",U,TNY274P,Package_DIP:PowerIntegrations_PDIP-8C
TNY284D,"TinySwitch-4 Family, 8.5W Output Power, SO-8C",https://ac-dc.power.com/sites/default/files/product-docs/tinyswitch-4_family_datasheet.pdf,"Energy-Efficient, Off-Line Switcher With Line Compensated Overload Power",U,TNY284D,Package_SO:PowerIntegrations_SO-8C
TNY284K,"TinySwitch-4 Family, 8.5W Output Power, eSOP-12B",https://ac-dc.power.com/sites/default/files/product-docs/tinyswitch-4_family_datasheet.pdf,"Energy-Efficient, Off-Line Switcher With Line Compensated Overload Power",U,TNY284K,Package_SO:PowerIntegrations_eSOP-12B
TNY284P,"TinySwitch-4 Family, 8.5W Output Power, PDIP-8C",https://ac-dc.power.com/sites/default/files/product-docs/tinyswitch-4_family_datasheet.pdf,"Energy-Efficient, Off-Line Switcher With Line Compensated Overload Power",U,TNY284P,Package_DIP:PowerIntegrations_PDIP-8C
TOP100YN,"TOPSwitch Family, 20W Max Output Power, TO-220",http://www.powerint.com/sites/default/files/product-docs/top100.pdf,Three-terminal Off-line PWM Switch,U,TOP100YN,Package_TO_SOT_THT:TO-220-3_Vertical
TOP200YAI,"TOPSwitch Family, 12W Max Output Power, TO-220",http://www.powerint.com/sites/default/files/product-docs/top200-204214.pdf,Three-terminal Off-line PWM Switch,U,TOP200YAI,Package_TO_SOT_THT:TO-220-3_Vertical
TOP209G,"TOPSwitch Family, 2W Max Output Power, SMD-8",http://www.powerint.com/sites/default/files/product-docs/top209210.pdf,Three-terminal Off-line PWM Switch,U,TOP209G,Package_DIP:PowerIntegrations_SMD-8
TOP209P,"TOPSwitch Family, 2W Max Output Power, DIP-8",http://www.powerint.com/sites/default/files/product-docs/top209210.pdf,Three-terminal Off-line PWM Switch,U,TOP209P,Package_DIP:DIP-8_W7.62mm
TOP252EN,"TOPSwitch-HX Family, 13W Output Power",https://ac-dc.power.com/sites/default/files/product-docs/topswitch-hx_family_datasheet.pdf,"Eco Smart Off-Line Switcher, Extendend Power Range",U,TOP252EN,Package_SIP:PowerIntegrations_eSIP-7C
TOP252GN,"TOPSwitch-HX Family, 10W Output Power",https://ac-dc.power.com/sites/default/files/product-docs/topswitch-hx_family_datasheet.pdf,"Eco Smart Off-Line Switcher, Extendend Power Range",U,TOP252GN,Package_DIP:PowerIntegrations_SMD-8C
TOP252MN,"TOPSwitch-HX Family, 10W Output Power",https://ac-dc.power.com/sites/default/files/product-docs/topswitch-hx_family_datasheet.pdf,"Eco Smart Off-Line Switcher, Extendend Power Range",U,TOP252MN,Package_DIP:PowerIntegrations_SDIP-10C
TOP252PN,"TOPSwitch-HX Family, 10W Output Power",https://ac-dc.power.com/sites/default/files/product-docs/topswitch-hx_family_datasheet.pdf,"Eco Smart Off-Line Switcher, Extendend Power Range",U,TOP252PN,Package_DIP:PowerIntegrations_PDIP-8C
TOP254YN,"TOPSwitch-HX Family, 43W Output Power",https://ac-dc.power.com/sites/default/files/product-docs/topswitch-hx_family_datasheet.pdf,"Eco Smart Off-Line Switcher, Extendend Power Range",U,TOP254YN,Package_TO_SOT_THT:PowerIntegrations_TO-220-7C
TOP255LN,"TOPSwitch-HX Family, 57W Output Power",https://ac-dc.power.com/sites/default/files/product-docs/topswitch-hx_family_datasheet.pdf,"Eco Smart Off-Line Switcher, Extendend Power Range",U,TOP255LN,Package_SIP:PowerIntegrations_eSIP-7F
TOP259YN,"TOPSwitch-HX Family, 171W Output Power",https://ac-dc.power.com/sites/default/files/product-docs/topswitch-hx_family_datasheet.pdf,"Eco Smart Off-Line Switcher, Extendend Power Range",U,TOP259YN,Package_TO_SOT_THT:PowerIntegrations_TO-220-7C
TOP264EG,"TOPSwitch-JX Family, 43W Output Power, eSIP-7C",https://ac-dc.power.com/sites/default/files/product-docs/topswitch-jx_family_datasheet.pdf,Integrated Off-Line Switcher with EcoSmart™ Technology,U,TOP264EG,Package_SIP:PowerIntegrations_eSIP-7C
TOP264KG,"TOPSwitch-JX Family, 30W Output Power, eSOP-12B",https://ac-dc.power.com/sites/default/files/product-docs/topswitch-jx_family_datasheet.pdf,Integrated Off-Line Switcher with EcoSmart™ Technology,U,TOP264KG,Package_SO:PowerIntegrations_eSOP-12B
TOP264VG,"TOPSwitch-JX Family, 43W Output Power, eDIP-12B",https://ac-dc.power.com/sites/default/files/product-docs/topswitch-jx_family_datasheet.pdf,Integrated Off-Line Switcher with EcoSmart™ Technology,U,TOP264VG,Package_DIP:PowerIntegrations_eDIP-12B
TPS51363,"High-voltage input, synchronous converter with integrated FET, QFN-28",http://www.ti.com/lit/ds/symlink/tps51363.pdf,Step-down,U,TPS51363,Package_DFN_QFN:Texas_R-PWQFN-N28_EP2.1x3.1mm
TPS5420D,"Adjustable Output, 2A Step-Down Converter, 5.5V-36V Input, 500kHz Switching Frequency",http://www.ti.com/lit/ds/symlink/tps5420.pdf,switching buck converter step-down,U,TPS5420D,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm
TPS54233,"2A, Step Down DC-DC Converter with Eco-mode, 3.5-28V Input Voltage, SO-8",http://www.ti.com/lit/ds/symlink/tps54233.pdf,Step-Down DC-DC Switching Regulator High Voltage High Frequency,U,TPS54233,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm
TPS54302,"3A, 4.5 to 28V Input, EMI Friendly integrated switch synchronous step-down regulator, pulse-skipping, SOT-23-6",http://www.ti.com/lit/ds/symlink/tps54302.pdf,switching buck converter power-supply voltage regulator emi spread spectrum,U,TPS54302,Package_TO_SOT_SMD:SOT-23-6
TPS5430DDA,"3A, Step Down Swift Converter, Adjustable Output Voltage, 5.5-36V Input Voltage, PowerSO-8",http://www.ti.com/lit/ds/symlink/tps5430.pdf,Step-Down DC-DC Switching Regulator,U,TPS5430DDA,Package_SO:TI_SO-PowerPAD-8_ThermalVias
TPS54336ADDA," 4.5V to 28V Input, 3A, Synchronous Step-Down Converter with Eco-mode(tm)",http://www.ti.com/lit/ds/symlink/tps54336a.pdf,Step-Down DC-DC Switching Regulator,U,TPS54336ADDA,Package_SO:TI_SO-PowerPAD-8_ThermalVias
TPS54360DDA,"3.5A, Step Down DC-DC Converter with Eco-mode, 4.5-60V Input Voltage, PowerSO-8",http://www.ti.com/lit/ds/symlink/tps54360.pdf,Step-Down DC-DC Switching Regulator High Voltage High Frequency,U,TPS54360DDA,Package_SO:TI_SO-PowerPAD-8_ThermalVias
TPS560200,"500mA, Synchronous Step-Down Converter With, Adjustable Output Voltage, 4.5-17V Input Voltage, SOT-23-5",http://www.ti.com/lit/ds/symlink/tps560200.pdf,Voltage regulator switching buck fixed output analog,U,TPS560200,Package_TO_SOT_SMD:SOT-23-5
TPS562200,"2A Synchronous Step-Down Voltage Regulator, Adjustable Output Voltage, 4.5-17V Input Voltage, SOT-23-6",http://www.ti.com/lit/ds/symlink/tps563200.pdf,step-down dcdc voltage regulator,U,TPS562200,Package_TO_SOT_SMD:SOT-23-6
TPS568215RNN,"4.5V-17V Input, 8A Synchronous Step-Down SWIFT Converter, Adjustable Output, 400kHz/800kHz/1.2MHz Switching Frequency, Texas VQFN-18",http://www.ti.com/lit/ds/symlink/tps568215.pdf,switching buck converter step-down,U,TPS568215RNN,Package_DFN_QFN:Texas_RNN0018A
TPS61041DDC,"Synchronous Boost Regulator, Adjustable Output up to 28V, SOT-23-5",http://www.ti.com/lit/ds/symlink/tps61040.pdf,Step-Up Boost DC-DC Regulator Adjustable,U,TPS61041DDC,Package_TO_SOT_SMD:SOT-23-5
TPS61041DRV,"Synchronous Boost Regulator, Adjustable Output up to 28V, WSON-6",http://www.ti.com/lit/ds/symlink/tps61040.pdf,Step-Up Boost DC-DC Regulator Adjustable,U,TPS61041DRV,Package_SON:WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm
TPS61090,"2A Step-Up DC-DC Converter for Batteries, Isw up to 2500mA, Adjustable output voltage, QFN-16",http://www.ti.com/lit/ds/symlink/tps61090.pdf,Adjustable 2A battery boost converter,U,TPS61090,Package_DFN_QFN:Texas_S-PVQFN-N16_EP2.7x2.7mm_ThermalVias
TPS61200DRC,"Low Input Voltage Synchronous Boost Converter With 1.3A Switches, Adjustable Output Voltage, 0.3-5.5V Input Voltage, VSON-10",http://www.ti.com/lit/ds/symlink/tps61200.pdf,boost step-up DC/DC synchronous,U,TPS61200DRC,Package_SON:Texas_S-PVSON-N10_ThermalVias
TPS61202DSC,"Low Input Voltage Synchronous Boost Converter With 1.3A Switches, Fixed 5V Output Voltage, 0.3-5.5V Input Voltage, WSON-10",http://www.ti.com/lit/ds/symlink/tps61200.pdf,boost step-up DC/DC synchronous,U,TPS61202DSC,Package_SON:Texas_DSC0010J_ThermalVias
TPS61220DCK,"400 mA Step-Up Converter, Adjustable Output Voltage, 0.7-5.5V Input Voltage, SC-70",http://www.ti.com/lit/ds/symlink/tps61220.pdf,Boost adjustable converter,U,TPS61220DCK,Package_TO_SOT_SMD:Texas_R-PDSO-G6
TPS61252DSG,"Tiny 1.5-A Boost Converter With Adjustable Input Current Limit, 2.3-6.0V Vin, 3.0-6.5V Vout, WSON-8",http://www.ti.com/lit/ds/symlink/tps61252.pdf,boost converter switching,U,TPS61252DSG,Package_SON:WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm
TPS62130,"3A Step-Down Converter with DCS-Control, Adjustable Output Voltage, 3-17V Input Voltage, QFN-16",http://www.ti.com/lit/ds/symlink/tps62130.pdf,step-down dcdc,U,TPS62130,Package_DFN_QFN:VQFN-16-1EP_3x3mm_P0.5mm_EP1.68x1.68mm_ThermalVias
TPS62160DGK,"1A Step-Down Converter with DCS-Control, adjustable output, 3-17V input voltage, VSSOP-8",http://www.ti.com/lit/ds/symlink/tps62160.pdf,step-down dc-dc buck regulator,U,TPS62160DGK,Package_SO:MSOP-8_3x3mm_P0.65mm
TPS62170DSG,"500mA Step-Down Converter with DCS-Control, adjustable output, 3-17V input voltage, WSON-8",http://www.ti.com/lit/ds/symlink/tps62170.pdf,step-down dc-dc buck regulator,U,TPS62170DSG,Package_SON:WSON-8-1EP_2x2mm_P0.5mm_EP0.9x1.6mm_ThermalVias
